,StateFIPS,CountyFIPS,M_With,M_Without,F_With,F_Without,All_With,All_Without
12,02,013,876,1317,566,540,1442,1857
13,02,016,2470,769,1707,564,4177,1333
14,02,020,120747,23245,122426,21393,243173,44638
15,02,050,6396,2708,6627,1774,13023,4482
16,02,060,419,124,349,67,768,191
17,02,068,822,253,674,250,1496,503
18,02,070,1678,900,1837,546,3515,1446
19,02,090,40605,6957,40210,5322,80815,12279
20,02,100,960,422,944,228,1904,650
21,02,105,798,328,711,288,1509,616
22,02,110,13739,2433,13582,2213,27321,4646
23,02,122,22391,6435,21668,5433,44059,11868
24,02,130,5339,1428,5527,1082,10866,2510
25,02,150,4941,1920,4943,1479,9884,3399
26,02,158,2762,1427,2921,791,5683,2218
27,02,164,445,286,513,230,958,516
28,02,170,39282,9314,37751,8084,77033,17398
29,02,180,3506,1605,3430,1114,6936,2719
30,02,185,4847,1248,2579,910,7426,2158
31,02,188,2690,1455,2542,1021,5232,2476
32,02,195,1310,381,1193,320,2503,701
33,02,198,2209,1252,2046,862,4255,2114
34,02,220,3635,841,3591,692,7226,1533
35,02,230,380,147,371,101,751,248
36,02,240,2889,853,2454,666,5343,1519
37,02,261,3670,1292,3566,884,7236,2176
38,02,275,941,280,926,221,1867,501
39,02,282,289,78,217,59,506,137
40,02,290,1795,1225,1692,907,3487,2132
12,01,001,23500,2781,25417,2727,48917,5508
13,01,003,79768,13644,88015,11343,167783,24987
14,01,005,9578,2163,10750,1569,20328,3732
15,01,007,9342,1012,9421,995,18763,2007
16,01,009,24629,3642,25922,3017,50551,6659
17,01,011,4088,1066,4191,762,8279,1828
18,01,013,8129,1223,9482,1236,17611,2459
19,01,015,47992,7440,53518,6245,101510,13685
20,01,017,13928,2198,15131,2476,29059,4674
21,01,019,11401,1404,11730,1137,23131,2541
22,01,021,18164,3252,18371,3712,36535,6964
23,01,023,5384,934,6098,850,11482,1784
24,01,025,9881,1825,11159,1934,21040,3759
25,01,027,5518,1022,5839,886,11357,1908
26,01,029,6234,1017,6582,1013,12816,2030
27,01,031,20688,2891,22567,2783,43255,5674
28,01,033,23057,3007,24955,3003,48012,6010
29,01,035,4925,1217,5227,1449,10152,2666
30,01,037,4474,866,4605,805,9079,1671
31,01,039,15536,2520,16877,2437,32413,4957
32,01,041,5847,939,6229,748,12076,1687
33,01,043,33641,6024,34557,5978,68198,12002
34,01,045,19228,3179,21602,3161,40830,6340
35,01,047,16398,2891,19599,2951,35997,5842
36,01,049,28735,6363,29767,5509,58502,11872
37,01,051,31679,3669,36728,3425,68407,7094
38,01,053,14055,3261,14958,3333,29013,6594
39,01,055,42271,7457,46984,6023,89255,13480
40,01,057,7557,832,7568,751,15125,1583
41,01,059,12966,2200,13441,2767,26407,4967
42,01,061,10913,2091,11495,1977,22408,4068
43,01,063,3304,777,4081,484,7385,1261
44,01,065,6051,997,7096,854,13147,1851
45,01,067,7002,1164,7934,926,14936,2090
46,01,069,42001,6928,47530,6187,89531,13115
47,01,071,21752,4072,23118,3424,44870,7496
48,01,073,266456,40710,307962,36469,574418,77179
49,01,075,5876,885,6248,980,12124,1865
50,01,077,38885,5228,42682,5167,81567,10395
51,01,079,14223,2042,15306,1773,29529,3815
52,01,081,64110,8577,69209,7141,133319,15718
53,01,083,35387,5442,38770,5206,74157,10648
54,01,085,4122,883,5036,563,9158,1446
55,01,087,7564,1437,9797,1011,17361,2448
56,01,089,145531,20878,156037,19760,301568,40638
57,01,091,8133,1209,9532,1205,17665,2414
58,01,093,12619,1902,13590,1618,26209,3520
59,01,095,37272,8805,40331,7023,77603,15828
60,01,097,163094,28997,185337,28790,348431,57787
61,01,099,8832,1717,9448,2005,18280,3722
62,01,101,88803,15281,105296,13407,194099,28688
63,01,103,48705,9071,51963,8345,100668,17416
64,01,105,3926,666,4539,757,8465,1423
65,01,107,8174,1403,8582,1095,16756,2498
66,01,109,13996,1760,15437,1754,29433,3514
67,01,111,9324,1666,9877,1545,19201,3211
68,01,113,22282,4430,24884,4777,47166,9207
69,01,115,36930,4549,38204,4318,75134,8867
70,01,117,88004,9927,95944,7945,183948,17872
71,01,119,4522,1343,6152,1187,10674,2530
72,01,121,32170,5151,36501,4860,68671,10011
73,01,123,16879,2385,18924,2428,35803,4813
74,01,125,85157,10782,93413,9656,178570,20438
75,01,127,26799,4750,29620,4050,56419,8800
76,01,129,7140,1263,7114,1352,14254,2615
77,01,131,4326,879,4850,921,9176,1800
78,01,133,10251,1462,10390,1726,20641,3188
12,05,001,7568,1273,8583,1068,16151,2341
13,05,003,8544,1538,9494,1478,18038,3016
14,05,005,17259,2372,18915,2026,36174,4398
15,05,007,100609,16255,105249,14411,205858,30666
16,05,009,15299,2602,16771,2130,32070,4732
17,05,011,4534,989,4797,793,9331,1782
18,05,013,2227,411,2228,320,4455,731
19,05,015,11137,2296,11452,2537,22589,4833
20,05,017,4159,829,4935,763,9094,1592
21,05,019,9169,1412,10481,1349,19650,2761
22,05,021,6214,1308,6654,1090,12868,2398
23,05,023,10744,1960,10629,2018,21373,3978
24,05,025,3802,415,3698,517,7500,932
25,05,027,9961,1427,10874,1642,20835,3069
26,05,029,8987,1322,9349,1275,18336,2597
27,05,031,40807,8090,44480,7051,85287,15141
28,05,033,25253,4761,27005,4175,52258,8936
29,05,035,19835,3330,22367,3672,42202,7002
30,05,037,6927,1358,7966,1005,14893,2363
31,05,039,3076,490,3215,559,6291,1049
32,05,041,4813,911,5534,1048,10347,1959
33,05,043,7468,1560,8028,1292,15496,2852
34,05,045,50314,7392,53062,7289,103376,14681
35,05,047,7539,1116,7827,1098,15366,2214
36,05,049,5109,849,5326,756,10435,1605
37,05,051,37960,8263,42017,7421,79977,15684
38,05,053,7806,1002,8160,929,15966,1931
39,05,055,18199,3041,18855,2801,37054,5842
40,05,057,8639,2045,9584,1824,18223,3869
41,05,059,13038,2294,13930,2154,26968,4448
42,05,061,5307,1242,5610,1218,10917,2460
43,05,063,15227,2627,15939,2658,31166,5285
44,05,065,5407,912,5285,1083,10692,1995
45,05,067,6560,1207,5615,903,12175,2110
46,05,069,28435,4044,32557,4219,60992,8263
47,05,071,10777,1961,11377,1613,22154,3574
48,05,073,2809,635,3106,588,5915,1223
49,05,075,6805,1419,7182,1309,13987,2728
50,05,077,3231,875,3863,488,7094,1363
51,05,079,3666,768,4639,745,8305,1513
52,05,081,5288,1050,5384,837,10672,1887
53,05,083,9588,1364,9291,1510,18879,2874
54,05,085,29648,4044,31951,3462,61599,7506
55,05,087,6461,1384,6587,1199,13048,2583
56,05,089,6880,1224,7080,1120,13960,2344
57,05,091,17114,3465,18108,3769,35222,7234
58,05,093,17754,3431,19318,3527,37072,6958
59,05,095,3037,567,3412,620,6449,1187
60,05,097,3605,881,3865,705,7470,1586
61,05,099,3408,824,3731,631,7139,1455
62,05,101,3470,553,3379,594,6849,1147
63,05,103,10245,1311,11605,1487,21850,2798
64,05,105,4607,478,4566,527,9173,1005
65,05,107,7585,1824,9003,1794,16588,3618
66,05,109,4360,993,4734,847,9094,1840
67,05,111,9578,2099,10369,1842,19947,3941
68,05,113,8138,1727,8596,1765,16734,3492
69,05,115,26407,4371,27067,4343,53474,8714
70,05,117,3510,522,3650,570,7160,1092
71,05,119,155362,28215,177974,23280,333336,51495
72,05,121,7056,1477,7688,1129,14744,2606
73,05,123,9159,2301,10761,1502,19920,3803
74,05,125,48403,6658,52131,5374,100534,12032
75,05,127,4655,872,4639,631,9294,1503
76,05,129,3284,668,3306,618,6590,1286
77,05,131,52036,9869,54137,10109,106173,19978
78,05,133,6695,1825,6927,1633,13622,3458
79,05,135,6873,1357,7332,1315,14205,2672
80,05,137,5402,908,5237,859,10639,1767
81,05,139,16488,2920,17939,2885,34427,5805
82,05,141,6656,1663,7101,1386,13757,3049
83,05,143,89087,18167,92453,14933,181540,33100
84,05,145,32331,6006,34463,5243,66794,11249
85,05,147,2662,686,2965,550,5627,1236
86,05,149,8865,1837,9456,1380,18321,3217
12,04,001,25743,9201,28542,7852,54285,17053
13,04,003,47589,6771,55718,6614,103307,13385
14,04,005,53505,13515,57656,11293,111161,24808
15,04,007,21863,4070,22671,3830,44534,7900
16,04,009,13834,2323,15164,2098,28998,4421
17,04,011,4139,584,3643,617,7782,1201
18,04,012,8733,1429,8625,1321,17358,2750
19,04,013,1633881,332342,1747583,275016,3381464,607358
20,04,015,79661,16608,86521,14132,166182,30740
21,04,017,41839,10188,44822,8626,86661,18814
22,04,019,404930,70973,444390,59712,849320,130685
23,04,021,155409,24692,163328,23603,318737,48295
24,04,023,18361,3991,20136,4339,38497,8330
25,04,025,90324,14466,95351,14369,185675,28835
26,04,027,76032,20388,81132,17421,157164,37809
12,06,001,681621,88190,732996,70544,1414617,158734
13,06,003,512,142,400,77,912,219
14,06,005,14369,1631,15820,1060,30189,2691
15,06,007,92483,16326,98566,12938,191049,29264
16,06,009,19250,2526,20634,1972,39884,4498
17,06,011,8848,2183,8582,1592,17430,3775
18,06,013,474034,57497,510094,48931,984128,106428
19,06,015,10237,1462,11012,1310,21249,2772
20,06,017,81148,9011,83819,7027,164967,16038
21,06,019,379453,88591,410573,66736,790026,155327
22,06,021,11142,2797,11606,2187,22748,4984
23,06,023,54679,11986,56929,10368,111608,22354
24,06,025,66068,14972,71962,14770,138030,29742
25,06,027,7794,1063,8106,971,15900,2034
26,06,029,344109,73189,358933,60514,703042,133703
27,06,031,53683,10579,57172,9062,110855,19641
28,06,033,25756,5905,27121,4688,52877,10593
29,06,035,10144,1107,9576,1144,19720,2251
30,06,037,3904322,997326,4230137,837175,8134459,1834501
31,06,039,57486,14771,62076,10344,119562,25115
32,06,041,111107,10737,123055,8224,234162,18961
33,06,043,7924,871,8092,729,16016,1600
34,06,045,35930,7213,38036,5443,73966,12656
35,06,047,106738,23878,112633,17643,219371,41521
36,06,049,3678,797,3881,584,7559,1381
37,06,051,5317,1929,5413,1413,10730,3342
38,06,053,160439,42733,173038,33794,333477,76527
39,06,055,59832,8787,62340,7435,122172,16222
40,06,057,41033,6956,43911,5718,84944,12674
41,06,059,1292176,237090,1361429,208099,2653605,445189
42,06,061,158349,18543,172630,13950,330979,32493
43,06,063,8108,1407,8361,926,16469,2333
44,06,065,916746,207979,974823,175978,1891569,383957
45,06,067,607503,96682,666343,79357,1273846,176039
46,06,069,24382,4284,25574,3155,49956,7439
47,06,071,825890,177988,886691,159538,1712581,337526
48,06,073,1301142,234576,1380888,206949,2682030,441525
49,06,075,384329,40788,380762,30288,765091,71076
50,06,077,290726,55049,311300,42817,602026,97866
51,06,079,117241,17433,120210,14696,237451,32129
52,06,081,330032,36082,349501,29233,679533,65315
53,06,083,175112,37490,186064,30108,361176,67598
54,06,085,840137,93794,849441,75798,1689578,169592
55,06,087,115040,17940,121172,13853,236212,31793
56,06,089,73691,13334,79630,10912,153321,24246
57,06,091,1238,258,1387,108,2625,366
58,06,093,18728,2957,19573,2444,38301,5401
59,06,095,175710,24415,193177,19391,368887,43806
60,06,097,208988,31276,224981,25613,433969,56889
61,06,099,217812,41373,231370,33483,449182,74856
62,06,101,38662,7984,41134,6258,79796,14242
63,06,103,26592,4414,27736,3843,54328,8257
64,06,105,5379,1332,5355,1094,10734,2426
65,06,107,180176,44296,190135,35140,370311,79436
66,06,109,22107,3017,23557,2159,45664,5176
67,06,111,347674,63746,371628,51009,719302,114755
68,06,113,87463,12481,95866,9946,183329,22427
69,06,115,29943,5357,31024,4787,60967,10144
12,08,001,189978,44652,197245,35868,387223,80520
13,08,003,6483,1147,7379,814,13862,1961
14,08,005,252809,43197,271608,35597,524417,78794
15,08,007,4749,1386,4721,1212,9470,2598
16,08,009,1438,301,1643,218,3081,519
17,08,011,1493,338,1601,192,3094,530
18,08,013,140104,14558,141062,12224,281166,26782
19,08,014,27449,2447,28789,1679,56238,4126
20,08,015,7356,1459,7403,1018,14759,2477
21,08,017,811,220,747,179,1558,399
22,08,019,4096,515,4092,306,8188,821
23,08,021,3320,750,3543,595,6863,1345
24,08,023,1581,285,1395,320,2976,605
25,08,025,1759,271,2125,266,3884,537
26,08,027,1613,524,1736,413,3349,937
27,08,029,11449,2812,12536,2420,23985,5232
28,08,031,267697,53725,282385,39310,550082,93035
29,08,033,899,118,758,87,1657,205
30,08,035,143468,8170,147150,7231,290618,15401
31,08,037,22270,5524,20430,4256,42700,9780
32,08,039,10597,1313,10716,1135,21313,2448
33,08,041,266035,37593,290199,30351,556234,67944
34,08,043,14966,2281,16985,1946,31951,4227
35,08,045,20773,7848,21056,6668,41829,14516
36,08,047,2491,343,2426,292,4917,635
37,08,049,6134,1509,5371,1336,11505,2845
38,08,051,6999,1402,6139,1059,13138,2461
39,08,053,356,60,394,64,750,124
40,08,055,2602,584,2728,405,5330,989
41,08,057,582,122,572,54,1154,176
42,08,059,240890,28944,253891,22256,494781,51200
43,08,061,544,115,676,99,1220,214
44,08,063,2923,574,3029,542,5952,1116
45,08,065,3236,742,2684,643,5920,1385
46,08,067,21982,4645,22642,3415,44624,8060
47,08,069,139780,17059,145434,13510,285214,30569
48,08,071,5944,1071,6018,970,11962,2041
49,08,073,1416,115,2073,159,3489,274
50,08,075,9154,2218,8832,1110,17986,3328
51,08,077,62209,10578,64142,9629,126351,20207
52,08,079,353,28,325,27,678,55
53,08,081,5485,1268,5327,913,10812,2181
54,08,083,9654,2983,10467,2391,20121,5374
55,08,085,16045,3781,16771,3816,32816,7597
56,08,087,12045,1757,12343,1744,24388,3501
57,08,089,7592,1415,8057,1311,15649,2726
58,08,091,1844,395,2086,255,3930,650
59,08,093,7209,1208,6891,733,14100,1941
60,08,095,1913,309,1816,268,3729,577
61,08,097,7865,1330,7024,1144,14889,2474
62,08,099,5046,965,5307,732,10353,1697
63,08,101,66883,10100,73703,6961,140586,17061
64,08,103,3068,361,2880,309,5948,670
65,08,105,4698,960,4985,882,9683,1842
66,08,107,10917,1385,9954,1252,20871,2637
67,08,109,2162,937,2244,871,4406,1808
68,08,111,264,63,226,53,490,116
69,08,113,3475,562,3155,453,6630,1015
70,08,115,964,164,1108,99,2072,263
71,08,117,12116,3713,10374,2654,22490,6367
72,08,119,10383,1275,10200,1245,20583,2520
73,08,121,2001,259,2092,170,4093,429
74,08,123,117241,16815,118408,15738,235649,32553
75,08,125,4057,678,4550,756,8607,1434
11,09,001,398180,55567,432919,44703,831099,100270
12,09,003,390154,34444,430902,26115,821056,60559
13,09,005,84207,7090,88395,5185,172602,12275
14,09,007,74580,5483,79505,3690,154085,9173
15,09,009,371693,38036,413529,28371,785222,66407
16,09,011,117687,9625,127638,6301,245325,15926
17,09,013,69525,4026,72384,2882,141909,6908
18,09,015,52591,4669,55081,3442,107672,8111
5,11,001,276285,22198,323314,14813,599599,37011
7,10,001,71860,7217,81320,5658,153180,12875
8,10,003,236835,22972,262252,19167,499087,42139
9,10,005,87643,11295,96771,8798,184414,20093
12,12,001,103064,18026,114762,15667,217826,33693
13,12,003,10298,1772,11081,1480,21379,3252
14,12,005,68041,15563,74296,13119,142337,28682
15,12,007,9447,2538,10148,1770,19595,4308
16,12,009,223646,43920,244237,36499,467883,80419
17,12,011,701051,186805,768123,176118,1469174,362923
18,12,013,4924,1212,5067,1382,9991,2594
19,12,015,65469,12778,72012,12279,137481,25057
20,12,017,56990,9243,62626,8906,119616,18149
21,12,019,81814,12802,87934,11830,169748,24632
22,12,021,129514,37119,141173,31428,270687,68547
23,12,023,25684,4960,27284,5238,52968,10198
24,12,027,12016,6079,12514,2527,24530,8606
25,12,029,5773,1510,5975,1316,11748,2826
26,12,031,348726,69632,393413,61083,742139,130715
27,12,033,116879,22448,132565,18328,249444,40776
28,12,035,40356,7640,45070,7344,85426,14984
29,12,037,3898,1082,3899,903,7797,1985
30,12,039,16381,4465,19672,3451,36053,7916
31,12,041,6212,1652,6150,1794,12362,3446
32,12,043,4492,1533,4683,1214,9175,2747
33,12,045,5660,1346,5374,1079,11034,2425
34,12,047,4472,903,4844,828,9316,1731
35,12,049,9773,3558,9673,2790,19446,6348
36,12,051,12624,6343,12932,4928,25556,11271
37,12,053,69276,13919,77784,11982,147060,25901
38,12,055,39100,8307,42730,7146,81830,15453
39,12,057,513975,113535,566133,97187,1080108,210722
40,12,059,6781,1939,7454,1544,14235,3483
41,12,061,55362,12465,62107,11598,117469,24063
42,12,063,17614,2648,18268,2817,35882,5465
43,12,065,4579,594,5855,714,10434,1308
44,12,067,2563,950,2877,624,5440,1574
45,12,069,125259,22303,138043,21490,263302,43793
46,12,071,255054,66636,280570,55914,535624,122550
47,12,073,115325,17626,131496,15063,246821,32689
48,12,075,15211,4276,16052,3841,31263,8117
49,12,077,2740,935,2544,555,5284,1490
50,12,079,6335,1640,7137,1571,13472,3211
51,12,081,133634,30738,149647,26970,283281,57708
52,12,083,128783,29261,144671,26132,273454,55393
53,12,085,60203,12641,67195,8716,127398,21357
54,12,086,913720,345984,1029301,323198,1943021,669182
55,12,087,29681,9093,27902,7520,57583,16613
56,12,089,30711,6234,33052,5141,63763,11375
57,12,091,73497,13973,81113,12515,154610,26488
58,12,093,13706,4583,14278,3667,27984,8250
59,12,095,467393,128157,507628,114016,975021,242173
60,12,097,112065,34689,121293,30788,233358,65477
61,12,099,529441,128224,596926,111457,1126367,239681
62,12,101,193843,35107,212253,32228,406096,67335
63,12,103,365646,75277,414317,64993,779963,140270
64,12,105,244527,54900,269368,48305,513895,103205
65,12,107,26738,8046,29921,6747,56659,14793
66,12,109,89166,11914,97157,10407,186323,22321
67,12,111,111403,27579,121141,25709,232544,53288
68,12,113,63955,10401,68241,9510,132196,19911
69,12,115,156083,29291,177734,25125,333817,54416
70,12,117,175304,34653,193878,30781,369182,65434
71,12,119,42824,4040,47895,4641,90719,8681
72,12,121,16064,4338,18457,3256,34521,7594
73,12,123,7353,1417,8621,1209,15974,2626
74,12,125,4013,645,4612,749,8625,1394
75,12,127,195665,46346,218308,37655,413973,84001
76,12,129,11867,1904,12202,1544,24069,3448
77,12,131,22001,6235,24485,4684,46486,10919
78,12,133,9143,1767,9808,1333,18951,3100
12,13,001,6884,1813,7352,1904,14236,3717
13,13,003,2825,1239,2946,1258,5771,2497
14,13,005,4042,1127,4639,893,8681,2020
15,13,007,1242,337,1360,353,2602,690
16,13,009,17553,3212,20229,2532,37782,5744
17,13,011,7764,1546,7383,1626,15147,3172
18,13,013,29308,6640,29988,5862,59296,12502
19,13,015,40864,8691,42129,8803,82993,17494
20,13,017,6364,1800,7307,1686,13671,3486
21,13,019,6868,2398,7046,2399,13914,4797
22,13,021,57314,12905,68408,12534,125722,25439
23,13,023,5107,829,5784,661,10891,1490
24,13,025,6714,2402,6844,2433,13558,4835
25,13,027,5831,1825,6442,1500,12273,3325
26,13,029,13252,2139,14659,2148,27911,4287
27,13,031,29523,5724,30317,5977,59840,11701
28,13,033,8811,2074,9966,1911,18777,3985
29,13,035,8376,1778,9064,1781,17440,3559
30,13,037,1590,514,2045,524,3635,1038
31,13,039,19948,3210,21611,3033,41559,6243
32,13,043,3697,1481,4227,1339,7924,2820
33,13,045,44101,9868,48004,9459,92105,19327
34,13,047,26625,4978,29051,4201,55676,9179
35,13,049,4584,1208,4690,1299,9274,2507
36,13,051,104174,23951,119106,24088,223280,48039
37,13,053,3063,521,3390,255,6453,776
38,13,055,9063,2149,10018,2139,19081,4288
39,13,057,93307,17236,99818,14680,193125,31916
40,13,059,46322,10381,53847,9368,100169,19749
41,13,061,1022,463,1258,303,2280,766
42,13,063,91148,33348,106904,32596,198052,65944
43,13,065,2631,644,2665,720,5296,1364
44,13,067,283287,61679,312433,56631,595720,118310
45,13,069,14017,4585,16269,4704,30286,9289
46,13,071,15045,7292,17560,5434,32605,12726
47,13,073,57173,6985,62660,6391,119833,13376
48,13,075,6130,2021,6425,2313,12555,4334
49,13,077,56787,8063,60351,7622,117138,15685
50,13,079,5257,1072,5226,836,10483,1908
51,13,081,8719,1980,9882,2284,18601,4264
52,13,083,6555,1335,7142,1264,13697,2599
53,13,085,9301,1797,9935,1457,19236,3254
54,13,087,9471,2732,11253,2606,20724,5338
55,13,089,266420,70503,307491,64529,573911,135032
56,13,091,7503,1809,8548,1351,16051,3160
57,13,093,4541,1544,5394,1140,9935,2684
58,13,095,32319,9804,40211,9197,72530,19001
59,13,097,53134,11539,59541,11129,112675,22668
60,13,099,3871,934,4701,914,8572,1848
61,13,101,1259,634,1488,667,2747,1301
62,13,103,22974,3773,22833,4476,45807,8249
63,13,105,7653,1521,8694,1435,16347,2956
64,13,107,7750,2841,9203,2169,16953,5010
65,13,109,3903,817,4597,1013,8500,1830
66,13,111,9310,2140,10093,2040,19403,4180
67,13,113,47425,4750,50925,4698,98350,9448
68,13,115,36663,8536,40916,7882,77579,16418
69,13,117,85640,11472,87649,10870,173289,22342
70,13,119,8671,2036,9360,1836,18031,3872
71,13,121,395438,75916,432816,71007,828254,146923
72,13,123,10809,3588,11237,2791,22046,6379
73,13,125,1233,242,1243,274,2476,516
74,13,127,30774,7351,35063,7594,65837,14945
75,13,129,21972,5414,22625,5339,44597,10753
76,13,131,9315,3037,9964,2735,19279,5772
77,13,133,6205,1667,6972,1310,13177,2977
78,13,135,330105,87272,355186,81567,685291,168839
79,13,137,16605,3957,16796,3866,33401,7823
80,13,139,73737,19196,76493,17175,150230,36371
81,13,141,2620,447,3321,625,5941,1072
82,13,143,11440,2323,12250,2189,23690,4512
83,13,145,13962,1999,14769,1625,28731,3624
84,13,147,9591,2477,10690,1905,20281,4382
85,13,149,4696,946,4900,932,9596,1878
86,13,151,85371,14877,94784,15133,180155,30010
87,13,153,58947,10117,65869,9306,124816,19423
88,13,155,3483,913,3663,807,7146,1720
89,13,157,25164,4923,26283,4530,51447,9453
90,13,159,5250,1356,5831,1056,11081,2412
91,13,161,5847,1475,5753,1799,11600,3274
92,13,163,5460,2074,6623,1709,12083,3783
93,13,165,3388,1032,3609,811,6997,1843
94,13,167,4053,936,3524,722,7577,1658
95,13,169,11697,2189,12775,1798,24472,3987
96,13,171,6918,1516,7795,1609,14713,3125
97,13,173,3545,1171,4178,968,7723,2139
98,13,175,18632,3499,21023,3685,39655,7184
99,13,177,11578,1659,12983,1398,24561,3057
100,13,179,22886,4140,27203,3953,50089,8093
101,13,181,3005,613,3339,676,6344,1289
102,13,183,5944,1405,7095,1139,13039,2544
103,13,185,40735,10962,46699,10123,87434,21085
104,13,187,12100,2752,13756,1907,25856,4659
105,13,189,8135,1936,9121,2099,17256,4035
106,13,191,5469,1281,6025,1132,11494,2413
107,13,193,4552,1488,5046,1199,9598,2687
108,13,195,11295,2515,12103,2143,23398,4658
109,13,197,3072,1249,3655,663,6727,1912
110,13,199,8287,1832,9123,1925,17410,3757
111,13,201,2210,518,2575,471,4785,989
112,13,205,7804,2078,8547,2342,16351,4420
113,13,207,10708,1782,11425,1731,22133,3513
114,13,209,3344,832,3630,785,6974,1617
115,13,211,7275,1122,7953,1354,15228,2476
116,13,213,14877,4265,16243,3793,31120,8058
117,13,215,71343,14830,87018,13855,158361,28685
118,13,217,40481,7653,45244,8348,85725,16001
119,13,219,14971,1716,15812,1701,30783,3417
120,13,221,6078,1142,6369,957,12447,2099
121,13,223,61605,10000,65284,9849,126889,19849
122,13,225,10354,2667,11558,2377,21912,5044
123,13,227,12454,2293,12939,1782,25393,4075
124,13,229,7350,1945,7718,1777,15068,3722
125,13,231,7234,1444,7439,1428,14673,2872
126,13,233,15636,4410,17711,3149,33347,7559
127,13,235,3916,858,4421,852,8337,1710
128,13,237,8179,2278,9375,1249,17554,3527
129,13,239,855,251,1046,174,1901,425
130,13,241,5685,2167,6431,1784,12116,3951
131,13,243,2791,888,2898,620,5689,1508
132,13,245,73605,15946,86184,15914,159789,31860
133,13,247,32871,7965,36981,8361,69852,16326
134,13,249,1907,610,2016,541,3923,1151
135,13,251,5274,1358,5852,1327,11126,2685
136,13,253,3165,893,3756,849,6921,1742
137,13,255,24186,5838,28153,4617,52339,10455
138,13,257,10161,2186,11520,1748,21681,3934
139,13,259,1401,648,1860,389,3261,1037
140,13,261,11738,2388,13950,2450,25688,4838
141,13,263,2635,485,2787,563,5422,1048
142,13,265,620,209,748,144,1368,353
143,13,267,7168,1613,8696,1947,15864,3560
144,13,269,2958,903,3593,739,6551,1642
145,13,271,4484,1276,5636,1127,10120,2403
146,13,273,3138,942,3922,881,7060,1823
147,13,275,16665,4194,19432,3831,36097,8025
148,13,277,14468,4956,16409,4533,30877,9489
149,13,279,9405,3180,11303,2984,20708,6164
150,13,281,4375,762,4735,764,9110,1526
151,13,283,2427,519,2918,501,5345,1020
152,13,285,26673,5391,30199,5172,56872,10563
153,13,287,2846,1128,3240,770,6086,1898
154,13,289,3447,682,3660,630,7107,1312
