,State,StateFIPS,CountyFIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic
12,AK,02,013,61518.0,72639.0,31250.0,54750.0,62679.0,51250.0
13,AK,02,016,84306.0,97321.0,93750.0,48750.0,81250.0,77500.0
14,AK,02,020,78326.0,87235.0,50535.0,53935.0,63757.0,53926.0
15,AK,02,050,51012.0,92647.0,73661.0,41594.0,110625.0,160114.0
16,AK,02,060,79750.0,88000.0,,63333.0,,25625.0
17,AK,02,068,81544.0,81029.0,,47500.0,,
18,AK,02,070,54173.0,81161.0,,42212.0,,86458.0
19,AK,02,090,71068.0,74242.0,56353.0,48333.0,56339.0,55284.0
20,AK,02,100,58750.0,67888.0,,45714.0,,
21,AK,02,105,52419.0,64000.0,,35625.0,,68500.0
22,AK,02,110,85746.0,90553.0,106964.0,57821.0,80893.0,76083.0
23,AK,02,122,63684.0,64663.0,122660.0,46458.0,58125.0,64148.0
24,AK,02,130,64222.0,73313.0,,45536.0,45859.0,83250.0
25,AK,02,150,70887.0,82857.0,26827.0,48179.0,56585.0,87000.0
26,AK,02,158,38229.0,63750.0,,37238.0,155417.0,64167.0
27,AK,02,164,50781.0,72500.0,,38482.0,,
28,AK,02,170,72983.0,74141.0,55577.0,56724.0,53789.0,77367.0
29,AK,02,180,48868.0,85455.0,,37277.0,78056.0,86607.0
30,AK,02,185,72576.0,86250.0,107500.0,59554.0,126964.0,88563.0
31,AK,02,188,63648.0,99444.0,,52227.0,69375.0,
32,AK,02,195,67935.0,64813.0,,60417.0,61875.0,106250.0
33,AK,02,198,48523.0,53185.0,31250.0,42404.0,,
34,AK,02,220,70376.0,81029.0,143125.0,40625.0,75000.0,58333.0
35,AK,02,230,69318.0,72589.0,,43750.0,,54479.0
36,AK,02,240,62670.0,71349.0,51563.0,20774.0,33750.0,78750.0
37,AK,02,261,78810.0,82090.0,,45000.0,105417.0,
38,AK,02,275,48603.0,53295.0,,31250.0,51250.0,
39,AK,02,282,72500.0,76250.0,,45625.0,127188.0,
40,AK,02,290,38491.0,63000.0,,29750.0,76250.0,
12,AL,01,001,51281.0,56854.0,32073.0,,2499.0,61296.0
13,AL,01,003,50254.0,52594.0,26967.0,92670.0,36250.0,42468.0
14,AL,01,005,32964.0,45039.0,21171.0,,,27132.0
15,AL,01,007,38678.0,42263.0,27793.0,,,43750.0
16,AL,01,009,45813.0,46601.0,31507.0,61310.0,,35271.0
17,AL,01,011,31938.0,52930.0,24595.0,,,
18,AL,01,013,32229.0,42922.0,23453.0,,90833.0,
19,AL,01,015,41703.0,46399.0,26071.0,48409.0,,30575.0
20,AL,01,017,34177.0,42336.0,25442.0,,62417.0,
21,AL,01,019,36296.0,36679.0,32973.0,,11313.0,
22,AL,01,021,41627.0,43395.0,35189.0,83564.0,22981.0,28939.0
23,AL,01,023,33536.0,45321.0,21661.0,,,
24,AL,01,025,32011.0,41390.0,19650.0,,,2499.0
25,AL,01,027,35327.0,37166.0,30343.0,12679.0,,24914.0
26,AL,01,029,38056.0,38886.0,30335.0,,,17431.0
27,AL,01,031,46729.0,51998.0,26605.0,46607.0,39063.0,32372.0
28,AL,01,033,40576.0,44296.0,28778.0,,,30994.0
29,AL,01,035,24900.0,32746.0,17366.0,,,13365.0
30,AL,01,037,31212.0,42727.0,23473.0,,,
31,AL,01,039,36444.0,39636.0,21875.0,26389.0,33177.0,51131.0
32,AL,01,041,36022.0,42771.0,21614.0,55227.0,,72868.0
33,AL,01,043,38971.0,39378.0,33333.0,,,21888.0
34,AL,01,045,45028.0,49655.0,26807.0,43088.0,73636.0,25115.0
35,AL,01,047,27306.0,51431.0,20462.0,,49583.0,
36,AL,01,049,38192.0,38909.0,27629.0,,65114.0,27912.0
37,AL,01,051,53555.0,58246.0,34370.0,48563.0,49342.0,29038.0
38,AL,01,053,32330.0,39557.0,21925.0,32321.0,,
39,AL,01,055,39220.0,41841.0,24950.0,35387.0,120714.0,35795.0
40,AL,01,057,34680.0,36892.0,17270.0,,,30625.0
41,AL,01,059,35372.0,36562.0,27340.0,27529.0,,34308.0
42,AL,01,061,36024.0,37725.0,24296.0,34063.0,,35023.0
43,AL,01,063,20541.0,45136.0,17731.0,,,
44,AL,01,065,32714.0,47035.0,25127.0,,,34055.0
45,AL,01,067,41997.0,50725.0,22207.0,,,41477.0
