FIPS,Mortality_Rate,Avg_Ann_Deaths
00000,46,"157,376"
21193,125.6,43
21197,125.3,18
02185,124.9,5
21189,118.5,8
12125,113.5,19
21147,111.1,22
21131,110.3,16
21159,109.1,14
21165,106,9
21109,104.6,17
05111,103.5,33
47139,103.3,25
21071,98.7,47
21045,98.5,21
29123,98.5,17
29133,97.2,17
21051,96.5,22
02180,96.1,6
21133,96.1,29
21235,95.6,39
21095,95.3,34
54045,95.1,45
47151,94.9,24
21183,94.6,28
21023,92.7,9
21115,92.5,27
29035,92.3,8
21223,91.9,9
05107,90.8,23
21129,90.8,9
29155,90.5,19
21099,90.2,21
21181,89.6,8
21103,89.3,17
21203,89.2,19
48461,89.1,3
47005,89,22
21075,88.9,9
47095,88.9,8
21033,88,16
21085,87.9,28
29223,87.9,19
28089,87.4,78
13239,87.2,4
21163,87,24
47013,86.8,49
21161,86.6,19
47153,86.6,16
54047,86.6,26
21119,85.9,17
21121,85.9,33
51105,85.9,28
21195,85.4,67
21127,85.1,16
47133,84.8,26
28081,84.5,77
29143,84.5,21
21171,84.3,12
51530,84.3,6
47025,84.2,36
12077,84.1,7
21207,84.1,21
21135,84.1,14
47029,84.1,42
21169,84,11
21077,83.8,8
26011,83.8,21
29083,83.6,28
05067,83.5,19
21065,83.5,16
05061,83.1,14
54059,83.1,27
47049,83,21
27087,82.7,6
05075,82.3,20
29181,82,17
47061,81.9,16
51690,81.9,17
21213,81.7,17
21139,81.6,12
21217,81.6,26
40127,81.6,14
47101,81.6,13
21175,81.5,13
29103,81.5,5
54085,81.5,12
54005,81.5,25
21091,81.4,9
47159,81.4,18
13035,81.3,20
18143,81.2,23
29069,81.2,33
29221,81.1,24
40029,81.1,7
54101,81,10
47083,80.8,10
18115,80.6,7
21221,80.6,17
29119,80.6,19
47021,80.6,32
21053,80.5,11
48315,80.3,14
17065,80.2,10
05021,80.1,20
20019,80.1,5
18155,80,10
21027,80,21
54109,80,24
18165,79.9,18
47087,79.9,14
01127,79.8,71
22087,79.8,26
21079,79.6,16
21231,79.5,22
51173,79.5,36
13083,79.3,16
18007,79.3,9
13267,79.1,20
54013,79,9
21055,78.8,10
47097,78.7,23
05105,78.5,11
28161,78.4,14
12067,78.3,7
29023,78.3,46
21225,78.2,13
28117,78.2,24
17039,78.1,17
21059,78.1,92
21005,78,18
21141,77.8,26
47109,77.8,28
12037,77.7,12
21237,77.6,7
40063,77.6,15
13233,77.5,37
47143,77.5,31
47111,77.5,21
21011,77.4,11
12075,77.3,49
21177,77.3,32
29177,77.3,22
47135,77.3,9
54043,77.3,22
28039,76.9,18
05073,76.8,9
22021,76.8,10
38039,76.8,4
29187,76.7,59
47079,76.7,38
51001,76.7,38
21031,76.6,12
28155,76.6,10
40035,76.6,16
51520,76.6,20
13295,76.4,65
18133,76.4,33
47085,76.4,20
12129,76.3,24
48211,76.3,3
02150,76.2,6
47173,76.2,18
05099,76.1,10
21007,76.1,9
47039,76.1,14
05149,76,21
13143,76,26
18123,76,18
28077,76,12
21073,75.9,45
28013,75.9,15
13003,75.8,6
05037,75.7,17
20207,75.6,4
54073,75.6,8
40079,75.4,47
05059,75.3,32
18149,75.3,23
37093,75.3,24
12003,75.2,21
29025,75.2,10
48407,75.2,28
39015,75.1,41
29055,75,24
51195,75,36
13161,74.9,13
16079,74.8,15
21199,74.7,63
48455,74.7,19
47167,74.6,45
13055,74.5,23
39001,74.5,27
17181,74.4,18
21125,74.4,50
54053,74.4,28
17153,74.3,7
47073,74.3,57
28043,74.2,20
29129,74.2,4
13129,74.1,43
13025,74.1,15
17059,74.1,7
05039,74,9
40013,74,41
40115,74,32
40101,74,63
47121,74,12
21013,73.9,28
45029,73.9,38
12029,73.8,19
21151,73.8,60
28107,73.8,28
29201,73.8,36
17055,73.7,42
21233,73.7,13
22111,73.6,22
28079,73.6,19
45033,73.6,27
51131,73.6,15
21043,73.5,25
54019,73.5,47
47123,73.4,45
48373,73.4,49
21025,73.2,13
39145,73.2,71
47081,73.2,21
05091,73.1,36
21009,73,40
21153,73,10
47057,73,23
21083,72.8,36
26079,72.7,17
55001,72.7,27
22035,72.6,6
29125,72.6,9
47181,72.6,16
05089,72.5,22
05115,72.5,49
29017,72.5,12
17017,72.4,12
40133,72.4,24
05085,72.3,49
01075,72.2,15
05035,72.2,36
38079,72.2,9
40049,72.2,26
47059,72.2,70
51073,72.2,34
22115,72.1,30
01039,71.9,39
13225,71.9,20
21089,71.9,36
40111,71.9,36
47117,71.9,26
47041,71.9,17
28131,71.8,13
37185,71.8,23
05117,71.7,9
12041,71.7,17
20093,71.7,3
22043,71.7,16
47129,71.7,19
05139,71.6,38
21137,71.6,22
29099,71.6,157
51051,71.6,16
47131,71.5,30
18041,71.4,24
20061,71.4,16
19135,71.3,8
01061,71.2,27
29207,71.2,30
54103,71.2,18
12107,71.1,78
47145,71.1,58
05095,70.9,9
02130,70.8,9
13195,70.8,23
22123,70.8,11
37053,70.8,18
47171,70.8,20
13171,70.7,15
18071,70.7,37
22049,70.7,15
45069,70.7,23
22039,70.6,26
39059,70.6,37
40023,70.6,15
54015,70.6,9
05023,70.5,32
13229,70.5,16
18025,70.5,10
21061,70.5,12
48343,70.5,14
05083,70.4,22
13301,70.4,6
24039,70.4,21
29117,70.4,15
40135,70.4,37
05093,70.2,34
05013,70.2,5
05017,70.2,12
05047,70.1,17
22053,70.1,27
28093,70.1,29
40091,70.1,24
48001,70.1,44
01079,70,29
18049,70,19
28109,70,47
29197,70,4
01133,69.9,24
05121,69.9,18
21041,69.9,9
40061,69.9,12
47115,69.9,27
48337,69.9,20
13213,69.7,28
18117,69.7,18
05055,69.6,34
05145,69.6,61
18175,69.6,23
21205,69.6,16
39119,69.6,75
17193,69.5,16
17199,69.5,60
17165,69.5,25
18055,69.5,30
47161,69.5,12
48391,69.5,8
17151,69.4,4
18073,69.4,27
29229,69.4,18
48291,69.4,52
48059,69.4,14
12093,69.3,36
21093,69.3,71
28137,69.3,22
17021,69.2,33
45025,69.2,37
51183,69.2,10
01027,69.1,13
05135,69.1,21
21155,69.1,15
37027,69.1,73
51097,69,7
01037,68.9,11
28057,68.9,20
29111,68.9,9
39125,68.9,17
48429,68.9,9
51730,68.9,27
13163,68.8,14
47027,68.8,9
17081,68.7,34
21173,68.7,21
47063,68.7,55
12059,68.6,18
22001,68.6,46
13155,68.5,8
17135,68.5,28
54091,68.5,15
12013,68.4,13
21087,68.4,11
29131,68.4,22
05011,68.3,11
47099,68.3,37
26001,68.2,17
39027,68.2,33
47107,68.2,48
13029,68.1,17
21149,68.1,9
51127,68.1,13
18103,68,29
42053,68,8
05071,67.9,20
12121,67.9,42
17127,67.9,15
21057,67.9,7
29169,67.9,23
32023,67.9,52
47077,67.9,23
01007,67.8,17
05001,67.8,17
18095,67.8,111
21003,67.8,17
29045,67.8,7
29113,67.8,35
37171,67.8,68
39087,67.8,53
39131,67.8,24
01055,67.7,90
16009,67.7,9
28083,67.7,22
39047,67.7,24
45087,67.7,26
47067,67.7,7
17121,67.6,36
12133,67.5,21
18139,67.5,15
21101,67.5,38
28047,67.5,132
20209,67.4,99
21191,67.4,11
21049,67.4,29
22117,67.4,39
05069,67.3,58
18019,67.3,81
21037,67.3,65
28023,67.3,15
21167,67.2,19
39053,67.2,26
47019,67.2,54
51169,67.2,24
51750,67.2,7
22091,67.1,9
26039,67.1,16
28135,67.1,11
40037,67.1,60
47043,67.1,38
01053,67,32
05025,67,7
22047,67,24
