,State,StateFIPS,CountyFIPS,AreaName,All_Poverty,M_Poverty,F_Poverty
12,AK,02,013,"Aleutians East Borough, Alaska",553,334,219
13,AK,02,016,"Aleutians West Census Area, Alaska",499,273,226
14,AK,02,020,"Anchorage Municipality, Alaska",23914,10698,13216
15,AK,02,050,"Bethel Census Area, Alaska",4364,2199,2165
16,AK,02,060,"Bristol Bay Borough, Alaska",69,33,36
17,AK,02,068,"Denali Borough, Alaska",254,139,115
18,AK,02,070,"Dillingham Census Area, Alaska",894,446,448
19,AK,02,090,"Fairbanks North Star Borough, Alaska",7752,3523,4229
20,AK,02,100,"Haines Borough, Alaska",135,74,61
21,AK,02,105,"Hoonah-Angoon Census Area, Alaska",252,102,150
22,AK,02,110,"Juneau City and Borough, Alaska",2110,1145,965
23,AK,02,122,"Kenai Peninsula Borough, Alaska",5558,2596,2962
24,AK,02,130,"Ketchikan Gateway Borough, Alaska",1640,792,848
25,AK,02,150,"Kodiak Island Borough, Alaska",1552,962,590
26,AK,02,158,"Kusilvak Census Area, Alaska",2622,1290,1332
27,AK,02,164,"Lake and Peninsula Borough, Alaska",247,119,128
28,AK,02,170,"Matanuska-Susitna Borough, Alaska",9454,4346,5108
29,AK,02,180,"Nome Census Area, Alaska",2592,1399,1193
30,AK,02,185,"North Slope Borough, Alaska",976,532,444
31,AK,02,188,"Northwest Arctic Borough, Alaska",1824,951,873
32,AK,02,195,"Petersburg Borough, Alaska",327,174,153
33,AK,02,198,"Prince of Wales-Hyder Census Area, Alaska",921,475,446
34,AK,02,220,"Sitka City and Borough, Alaska",798,424,374
35,AK,02,230,"Skagway Municipality, Alaska",44,16,28
36,AK,02,240,"Southeast Fairbanks Census Area, Alaska",1011,507,504
37,AK,02,261,"Valdez-Cordova Census Area, Alaska",1029,598,431
38,AK,02,275,"Wrangell City and Borough, Alaska",279,153,126
39,AK,02,282,"Yakutat City and Borough, Alaska",35,25,10
40,AK,02,290,"Yukon-Koyukuk Census Area, Alaska",1252,666,586
12,AL,01,001,"Autauga County, Alabama",7057,2983,4074
13,AL,01,003,"Baldwin County, Alabama",25798,12018,13780
14,AL,01,005,"Barbour County, Alabama",6421,2856,3565
15,AL,01,007,"Bibb County, Alabama",3488,1495,1993
16,AL,01,009,"Blount County, Alabama",9552,4593,4959
17,AL,01,011,"Bullock County, Alabama",2486,981,1505
18,AL,01,013,"Butler County, Alabama",5094,2073,3021
19,AL,01,015,"Calhoun County, Alabama",23325,9500,13825
20,AL,01,017,"Chambers County, Alabama",7273,3091,4182
21,AL,01,019,"Cherokee County, Alabama",4918,2421,2497
22,AL,01,021,"Chilton County, Alabama",8288,3871,4417
23,AL,01,023,"Choctaw County, Alabama",3093,1206,1887
24,AL,01,025,"Clarke County, Alabama",6107,2495,3612
25,AL,01,027,"Clay County, Alabama",2201,902,1299
26,AL,01,029,"Cleburne County, Alabama",2508,1069,1439
27,AL,01,031,"Coffee County, Alabama",8581,3867,4714
28,AL,01,033,"Colbert County, Alabama",9406,4124,5282
29,AL,01,035,"Conecuh County, Alabama",4320,2011,2309
30,AL,01,037,"Coosa County, Alabama",2073,961,1112
31,AL,01,039,"Covington County, Alabama",7515,3263,4252
32,AL,01,041,"Crenshaw County, Alabama",2288,1068,1220
33,AL,01,043,"Cullman County, Alabama",14814,6760,8054
34,AL,01,045,"Dale County, Alabama",9306,4092,5214
35,AL,01,047,"Dallas County, Alabama",14580,5889,8691
36,AL,01,049,"DeKalb County, Alabama",13133,5783,7350
37,AL,01,051,"Elmore County, Alabama",10334,4413,5921
38,AL,01,053,"Escambia County, Alabama",8609,3695,4914
39,AL,01,055,"Etowah County, Alabama",20078,8854,11224
40,AL,01,057,"Fayette County, Alabama",3055,1449,1606
41,AL,01,059,"Franklin County, Alabama",7020,2598,4422
42,AL,01,061,"Geneva County, Alabama",6149,2689,3460
43,AL,01,063,"Greene County, Alabama",3479,1562,1917
44,AL,01,065,"Hale County, Alabama",4011,1638,2373
45,AL,01,067,"Henry County, Alabama",2657,1085,1572
46,AL,01,069,"Houston County, Alabama",18746,7893,10853
47,AL,01,071,"Jackson County, Alabama",9415,4398,5017
48,AL,01,073,"Jefferson County, Alabama",121029,52750,68279
49,AL,01,075,"Lamar County, Alabama",3382,1302,2080
50,AL,01,077,"Lauderdale County, Alabama",16232,6772,9460
51,AL,01,079,"Lawrence County, Alabama",6225,2780,3445
52,AL,01,081,"Lee County, Alabama",34561,15869,18692
53,AL,01,083,"Limestone County, Alabama",12075,5206,6869
54,AL,01,085,"Lowndes County, Alabama",3035,1353,1682
55,AL,01,087,"Macon County, Alabama",4636,2060,2576
56,AL,01,089,"Madison County, Alabama",46436,21195,25241
57,AL,01,091,"Marengo County, Alabama",5244,2056,3188
58,AL,01,093,"Marion County, Alabama",5960,2805,3155
59,AL,01,095,"Marshall County, Alabama",18794,8426,10368
60,AL,01,097,"Mobile County, Alabama",77917,31927,45990
61,AL,01,099,"Monroe County, Alabama",6901,2912,3989
62,AL,01,101,"Montgomery County, Alabama",49918,21699,28219
63,AL,01,103,"Morgan County, Alabama",18936,7640,11296
64,AL,01,105,"Perry County, Alabama",3373,1510,1863
65,AL,01,107,"Pickens County, Alabama",4801,2116,2685
66,AL,01,109,"Pike County, Alabama",8158,3810,4348
67,AL,01,111,"Randolph County, Alabama",4511,2048,2463
68,AL,01,113,"Russell County, Alabama",12054,4782,7272
69,AL,01,115,"St. Clair County, Alabama",13417,6115,7302
70,AL,01,117,"Shelby County, Alabama",16693,7492,9201
71,AL,01,119,"Sumter County, Alabama",5372,2187,3185
72,AL,01,121,"Talladega County, Alabama",17950,7613,10337
73,AL,01,123,"Tallapoosa County, Alabama",9117,3646,5471
74,AL,01,125,"Tuscaloosa County, Alabama",36274,15124,21150
75,AL,01,127,"Walker County, Alabama",14598,6480,8118
76,AL,01,129,"Washington County, Alabama",3200,1367,1833
77,AL,01,131,"Wilcox County, Alabama",4126,1910,2216
78,AL,01,133,"Winston County, Alabama",5157,2035,3122
12,AR,05,001,"Arkansas County, Arkansas",3705,1514,2191
13,AR,05,003,"Ashley County, Arkansas",4352,1961,2391
14,AR,05,005,"Baxter County, Arkansas",6452,3062,3390
15,AR,05,007,"Benton County, Arkansas",28804,13213,15591
16,AR,05,009,"Boone County, Arkansas",6465,2751,3714
17,AR,05,011,"Bradley County, Arkansas",3218,1350,1868
18,AR,05,013,"Calhoun County, Arkansas",907,409,498
19,AR,05,015,"Carroll County, Arkansas",5001,2173,2828
20,AR,05,017,"Chicot County, Arkansas",3385,1350,2035
21,AR,05,019,"Clark County, Arkansas",4716,1872,2844
22,AR,05,021,"Clay County, Arkansas",3324,1472,1852
23,AR,05,023,"Cleburne County, Arkansas",3676,1696,1980
24,AR,05,025,"Cleveland County, Arkansas",1751,785,966
25,AR,05,027,"Columbia County, Arkansas",5823,2540,3283
26,AR,05,029,"Conway County, Arkansas",4709,2344,2365
27,AR,05,031,"Craighead County, Arkansas",19715,8920,10795
28,AR,05,033,"Crawford County, Arkansas",11304,5456,5848
29,AR,05,035,"Crittenden County, Arkansas",11802,4745,7057
30,AR,05,037,"Cross County, Arkansas",3461,1459,2002
31,AR,05,039,"Dallas County, Arkansas",1141,521,620
32,AR,05,041,"Desha County, Arkansas",4029,1628,2401
